Entity,Code,Year,Consumption-based emissions per capita,GDP per capita,Population,World region according to OWID
Afghanistan,AFG,2000,,1617.8264,20130334,Asia
Afghanistan,AFG,2001,,1454.1108,20284303,Asia
Afghanistan,AFG,2002,,1774.3087,21378123,Asia
Afghanistan,AFG,2003,,1815.9282,22733053,Asia
Afghanistan,AFG,2004,,1776.9182,23560656,Asia
Afghanistan,AFG,2005,,1908.1147,24404575,Asia
Afghanistan,AFG,2006,,1929.7239,25424100,Asia
Afghanistan,AFG,2007,,2155.353,25909852,Asia
Afghanistan,AFG,2008,,2191.5044,26482631,Asia
Afghanistan,AFG,2009,,2565.022,27466102,Asia
Afghanistan,AFG,2010,,2848.5862,28284088,Asia
Afghanistan,AFG,2011,,2757.0525,29347708,Asia
Afghanistan,AFG,2012,,2985.319,30560036,Asia
Afghanistan,AFG,2013,,3046.5798,31622709,Asia
Afghanistan,AFG,2014,,3017.9426,32792528,Asia
Afghanistan,AFG,2015,,2967.6921,33831767,Asia
Afghanistan,AFG,2016,,2958.7854,34700613,Asia
Afghanistan,AFG,2017,,2952.999,35688941,Asia
Afghanistan,AFG,2018,,2902.392,36743040,Asia
Afghanistan,AFG,2019,,2927.245,37856125,Asia
Afghanistan,AFG,2020,,2769.6858,39068977,Asia
Afghanistan,AFG,2021,,2144.1665,40000410,Asia
Afghanistan,AFG,2022,,1981.7102,40578847,Asia
Afghanistan,AFG,2023,,1983.8126,41454762,Asia
Africa,OWID_AFR,1990,1.0119611,,643490587,
Africa,OWID_AFR,1991,1.009962,,660810865,
Africa,OWID_AFR,1992,0.9808672,,678257033,
Africa,OWID_AFR,1993,1.003402,,696302246,
Africa,OWID_AFR,1994,1.0825293,,714183914,
Africa,OWID_AFR,1995,1.1135281,,732395090,
Africa,OWID_AFR,1996,1.1117148,,751187001,
Africa,OWID_AFR,1997,1.121545,,770098458,
Africa,OWID_AFR,1998,1.1422052,,789672411,
Africa,OWID_AFR,1999,1.0402368,,809745318,
Africa,OWID_AFR,2000,0.8823919,,830226481,
Africa,OWID_AFR,2001,0.87554455,,851317075,
Africa,OWID_AFR,2002,0.8459058,,873025213,
Africa,OWID_AFR,2003,0.914093,,895336412,
Africa,OWID_AFR,2004,0.94079524,,918363272,
Africa,OWID_AFR,2005,0.9393087,,942115143,
Africa,OWID_AFR,2006,0.97239697,,966491337,
Africa,OWID_AFR,2007,0.98692083,,991615906,
Africa,OWID_AFR,2008,1.009349,,1017632831,
Africa,OWID_AFR,2009,1.036723,,1044356804,
Africa,OWID_AFR,2010,1.0540423,,1071809929,
Africa,OWID_AFR,2011,1.0931371,,1099732995,
Africa,OWID_AFR,2012,1.0832386,,1128396676,
Africa,OWID_AFR,2013,1.1177293,,1158293959,
Africa,OWID_AFR,2014,1.1581961,,1188685762,
Africa,OWID_AFR,2015,1.1289389,,1219484027,
Africa,OWID_AFR,2016,1.1239121,,1250551239,
Africa,OWID_AFR,2017,1.069152,,1282169538,
Africa,OWID_AFR,2018,1.0584848,,1314609397,
Africa,OWID_AFR,2019,1.0714246,,1347162538,
Africa,OWID_AFR,2020,1.0016879,,1379939686,
Africa,OWID_AFR,2021,1.0484749,,1412811077,
Africa,OWID_AFR,2022,1.0028852,,1445862695,
Africa,OWID_AFR,2023,0.98603,,1479690254,
Albania,ALB,1990,1.7002819,5560.857,3277965,Europe
Albania,ALB,1991,1.406224,4027.9055,3282608,Europe
Albania,ALB,1992,0.89106643,3761.1555,3282506,Europe
Albania,ALB,1993,0.81603193,4145.92,3277831,Europe
Albania,ALB,1994,0.72347695,4517.799,3269417,Europe
Albania,ALB,1995,0.77430433,5151.3975,3258573,Europe
Albania,ALB,1996,0.8919275,5563.793,3245680,Europe
Albania,ALB,1997,0.6787573,4943.004,3229665,Europe
Albania,ALB,1998,0.7579721,5387.5684,3210134,Europe
Albania,ALB,1999,1.1628566,6086.009,3188598,Europe
Albania,ALB,2000,1.2507224,6582.0166,3166147,Europe
Albania,ALB,2001,1.4094217,7232.9907,3147943,Europe
Albania,ALB,2002,1.5704511,7590.49,3134095,Europe
Albania,ALB,2003,1.9063745,8025.2812,3118093,Europe
Albania,ALB,2004,1.7842977,8483.294,3098662,Europe
Albania,ALB,2005,1.902615,8964.318,3076156,Europe
Albania,ALB,2006,1.9122059,9564.029,3050805,Europe
Albania,ALB,2007,2.0040345,10262.967,3022887,Europe
Albania,ALB,2008,2.214225,11056.352,2992933,Europe
Albania,ALB,2009,2.2764707,11430.622,2961487,Europe
Albania,ALB,2010,2.2466006,11829.054,2928731,Europe
Albania,ALB,2011,2.3988323,12153.114,2911499,Europe
Albania,ALB,2012,2.257982,12463.57,2910003,Europe
Albania,ALB,2013,2.2409885,12873.483,2907571,Europe
Albania,ALB,2014,2.2388933,13366.56,2903748,Europe
Albania,ALB,2015,2.033385,13876.819,2898634,Europe
Albania,ALB,2016,2.0182772,14643.489,2897868,Europe
Albania,ALB,2017,2.105818,15359.461,2898245,Europe
Albania,ALB,2018,2.1642509,16170.99,2894229,Europe
Albania,ALB,2019,2.0869055,16761.193,2885011,Europe
Albania,ALB,2020,2.079911,16457.787,2871950,Europe
Albania,ALB,2021,2.1750283,18212.871,2849641,Europe
Albania,ALB,2022,2.0110087,19388.873,2827614,Europe
Albania,ALB,2023,1.914176,20481.035,2811660,Europe
Albania,ALB,2024,,21641.074,2811660,Europe
Algeria,DZA,1990,,11728.546,25375815,Africa
Algeria,DZA,1991,,11314.864,25987937,Africa
Algeria,DZA,1992,,11241.415,26628570,Africa
Algeria,DZA,1993,,10743.706,27277042,Africa
Algeria,DZA,1994,,10414.035,27887277,Africa
Algeria,DZA,1995,,10588.443,28470194,Africa
Algeria,DZA,1996,,10808.879,29033045,Africa
Algeria,DZA,1997,,10725.968,29579299,Africa
Algeria,DZA,1998,,11094.888,30054135,Africa
Algeria,DZA,1999,,11292.037,30474360,Africa
Algeria,DZA,2000,,11558.221,30903894,Africa
Algeria,DZA,2001,,11742.595,31331226,Africa
Algeria,DZA,2002,,12213.126,31750832,Africa
Algeria,DZA,2003,,12835.182,32175813,Africa
Algeria,DZA,2004,,13226.765,32628286,Africa
Algeria,DZA,2005,,13738.496,33109258,Africa
Algeria,DZA,2006,,13920.694,33623505,Africa
Algeria,DZA,2007,,14114.675,34189420,Africa
Algeria,DZA,2008,,14206.776,34816963,Africa
Algeria,DZA,2009,,14104.428,35490442,Africa
Algeria,DZA,2010,,14496.421,36188237,Africa
Algeria,DZA,2011,,14641.964,36903374,Africa
Algeria,DZA,2012,,14697.54,37646165,Africa
Algeria,DZA,2013,,14778.191,38414176,Africa
Algeria,DZA,2014,,15073.763,39205035,Africa
Algeria,DZA,2015,,15239.518,40019528,Africa
Algeria,DZA,2016,,15511.686,40850719,Africa
Algeria,DZA,2017,,15427.664,41689302,Africa
Algeria,DZA,2018,,15343.426,42505033,Africa
Algeria,DZA,2019,,15199.199,43294551,Africa
Algeria,DZA,2020,,14194.155,44042094,Africa
Algeria,DZA,2021,,14496.865,44761099,Africa
Algeria,DZA,2022,,14782.2,45477391,Africa
Algeria,DZA,2023,,15159.324,46164222,Africa
Algeria,DZA,2024,,15501.92,46164222,Africa
Andorra,AND,1990,,50036.3,52616,Europe
Andorra,AND,1991,,47624.97,56691,Europe
Andorra,AND,1992,,45246.53,60217,Europe
Andorra,AND,1993,,42605.66,63293,Europe
Andorra,AND,1994,,42716.367,64631,Europe
Andorra,AND,1995,,44375.023,63936,Europe
Andorra,AND,1996,,46386.09,64006,Europe
Andorra,AND,1997,,50032.35,64722,Europe
Andorra,AND,1998,,51092.223,65400,Europe
Andorra,AND,1999,,52921.047,65732,Europe
Andorra,AND,2000,,54809.145,65703,Europe
Andorra,AND,2001,,59109.016,65874,Europe
Andorra,AND,2002,,61188.637,66528,Europe
Andorra,AND,2003,,63656.195,69507,Europe
Andorra,AND,2004,,64353.484,74342,Europe
Andorra,AND,2005,,65114.805,77436,Europe
Andorra,AND,2006,,66390.3,79609,Europe
Andorra,AND,2007,,65534.117,81901,Europe
Andorra,AND,2008,,60691.605,83513,Europe
Andorra,AND,2009,,57203.973,83907,Europe
Andorra,AND,2010,,58285.06,80727,Europe
Andorra,AND,2011,,60470.465,77801,Europe
Andorra,AND,2012,,58172.133,76858,Europe
Andorra,AND,2013,,57332.16,75220,Europe
Andorra,AND,2014,,59929.246,73755,Europe
Andorra,AND,2015,,62105.152,72195,Europe
Andorra,AND,2016,,64402.81,72197,Europe
Andorra,AND,2017,,63239.656,73780,Europe
Andorra,AND,2018,,63048.598,75181,Europe
Andorra,AND,2019,,63215.9,76492,Europe
Andorra,AND,2020,,55488.492,77397,Europe
Andorra,AND,2021,,59332.203,78379,Europe
Andorra,AND,2022,,63913.383,79722,Europe
Andorra,AND,2023,,64631.297,80869,Europe
Andorra,AND,2024,,65928.305,80869,Europe
Angola,AGO,1990,,8368.723,11626361,Africa
Angola,AGO,1991,,8172.5054,12023532,Africa
Angola,AGO,1992,,7447.494,12423717,Africa
Angola,AGO,1993,,5483.2773,12827136,Africa
Angola,AGO,1994,,5379.475,13249763,Africa
Angola,AGO,1995,,5983.184,13699780,Africa
Angola,AGO,1996,,6567.6777,14170973,Africa
Angola,AGO,1997,,6810.2163,14660419,Africa
Angola,AGO,1998,,6895.026,15159378,Africa
Angola,AGO,1999,,6817.057,15667235,Africa
Angola,AGO,2000,,6796.4062,16194873,Africa
Angola,AGO,2001,,6848.683,16747204,Africa
Angola,AGO,2002,,7523.813,17327701,Africa
Angola,AGO,2003,,7518.8896,17943718,Africa
Angola,AGO,2004,,8081.757,18600426,Africa
Angola,AGO,2005,,8895.377,19291160,Africa
Angola,AGO,2006,,9588.822,20015281,Africa
Angola,AGO,2007,,10437.59,20778570,Africa
Angola,AGO,2008,,11134.705,21578656,Africa
Angola,AGO,2009,,10933.271,22414775,Africa
Angola,AGO,2010,,11077.13,23294822,Africa
Angola,AGO,2011,,11037.639,24218358,Africa
Angola,AGO,2012,,11519.993,25177398,Africa
Angola,AGO,2013,,11626.1875,26165616,Africa
Angola,AGO,2014,,11721.664,27160767,Africa
Angola,AGO,2015,,11392.906,28157802,Africa
Angola,AGO,2016,,10805.712,29183072,Africa
Angola,AGO,2017,,10414.236,30234836,Africa
Angola,AGO,2018,,10000.944,31297160,Africa
Angola,AGO,2019,,9648.011,32375633,Africa
Angola,AGO,2020,,8960.338,33451139,Africa
Angola,AGO,2021,,8862.281,34532427,Africa
Angola,AGO,2022,,8950.143,35635028,Africa
Angola,AGO,2023,,8788.261,36749909,Africa
Angola,AGO,2024,,8901.888,36749909,Africa
